CID_senyawa,Protein
3062316,FGFR2_HUMAN
3062316,FGFR3_HUMAN
3062316,FGFR4_HUMAN
3062316,FLT3_HUMAN
3062316,FYN_HUMAN
3062316,GSK3A_HUMAN
3062316,GSK3B_HUMAN
3062316,HCK_HUMAN
3062316,IGF1R_HUMAN
3062316,IKKA_HUMAN
3062316,IKKE_HUMAN
3062316,INSR_HUMAN
3062316,ITK_HUMAN
3062316,JAK2_HUMAN
3062316,JAK3_HUMAN
3062316,KAPCA_HUMAN
3062316,KAPCB_HUMAN
3062316,KC1G2_HUMAN
3062316,KIT_HUMAN
3062316,KPCA_HUMAN
3062316,KPCB_HUMAN
3062316,KPCD1_HUMAN
3062316,KPCE_HUMAN
3062316,KPCT_HUMAN
3062316,KS6A5_HUMAN
3062316,KSYK_HUMAN
3062316,LCK_HUMAN
3062316,MAPK2_HUMAN
3062316,MET_HUMAN
3062316,MK01_HUMAN
3062316,MK03_HUMAN
3062316,MK10_HUMAN
3062316,MK12_HUMAN
3062316,MK14_HUMAN
3062316,MP2K1_HUMAN
3062316,MP2K2_HUMAN
3062316,MP2K4_HUMAN
3062316,NTRK1_HUMAN
3062316,PDPK1_HUMAN
3062316,PGFRA_HUMAN
3062316,PGFRB_HUMAN
3062316,PIM1_HUMAN
3062316,PK3CA_HUMAN
3062316,PLK1_HUMAN
3062316,Q9Y354_HUMAN
3062316,RET_HUMAN
3062316,RIPK1_HUMAN
3062316,SRC_HUMAN
3062316,STA5B_HUMAN
3062316,AURKA_HUMAN
3062316,TBA1A_HUMAN
3062316,TGFR2_HUMAN
3062316,TYRO3_HUMAN
3062316,VGFR1_HUMAN
3062316,VGFR2_HUMAN
3062316,VGFR3_HUMAN
3062316,WEE1_HUMAN
3062316,YES_HUMAN
5284616,CP3A4_HUMAN
5284616,CP3A5_HUMAN
5284616,CP3A7_HUMAN
5284616,FKBP3_HUMAN
5284616,MTOR_HUMAN
5284616,MDR1_HUMAN
5284616,O60213_HUMAN
5284616,OPRK_HUMAN
5284616,MTOR_HUMAN
5284616,Q53GD8_HUMAN
5284616,Q53GX4_HUMAN
5284616,Q53XJ5_HUMAN
5284616,Q59GY9_HUMAN
5284616,FKBP5_HUMAN
5284616,Q5W0X3_HUMAN
5284616,Q6TBL4_HUMAN
5284616,Q6ZR21_HUMAN
5284616,Q96QW8_HUMAN
10302451,ABL1_HUMAN
10302451,CSK_HUMAN
10302451,EGFR_HUMAN
10302451,KIT_HUMAN
10302451,LCK_HUMAN
10302451,SRC_HUMAN
10302451,VGFR2_HUMAN
4927,5HT2A_HUMAN
4927,ACM1_HUMAN
4927,ACM2_HUMAN
4927,ACM3_HUMAN
4927,ACM4_HUMAN
4927,ACM5_HUMAN
4927,ADA1A_HUMAN
4927,CP2B6_HUMAN
4927,CP2C9_HUMAN
4927,CP2D6_HUMAN
4927,DRD2_HUMAN
4927,HRH1_HUMAN
4927,PRIO_HUMAN
4927,Q38LF9_HUMAN
4927,Q38LG0_HUMAN
4927,Q38LG2_HUMAN
5440,5HT2A_HUMAN
5440,5HT2C_HUMAN
5440,ACM1_HUMAN
5440,ACM2_HUMAN
5440,ACM3_HUMAN
5440,ACM4_HUMAN
5440,ACM5_HUMAN
5440,ADA1A_HUMAN
5440,DRD1_HUMAN
5440,DRD2_HUMAN
5440,DRD3_HUMAN
5440,DRD4_HUMAN
5440,DRD5_HUMAN
3372,5HT6R_HUMAN
3372,CP1A2_HUMAN
3372,CP2C8_HUMAN
3372,CP2C9_HUMAN
3372,CP2D6_HUMAN
3372,CP2E1_HUMAN
3372,DRD1_HUMAN
3372,DRD2_HUMAN
3372,DRD3_HUMAN
3372,DRD4_HUMAN
3372,DRD5_HUMAN
3372,HRH1_HUMAN
3372,HRH3_HUMAN
5568,5HT6R_HUMAN
5568,CP1A2_HUMAN
5568,CP2C8_HUMAN
5568,CP2C9_HUMAN
5568,CP2D6_HUMAN
5568,CP2E1_HUMAN
5568,DRD1_HUMAN
5568,DRD2_HUMAN
5568,DRD3_HUMAN
5568,DRD4_HUMAN
5568,DRD5_HUMAN
5568,HRH1_HUMAN
5568,HRH3_HUMAN
2726,5HT1A_HUMAN
2726,5HT2A_HUMAN
2726,5HT6R_HUMAN
2726,ALBU_HUMAN
2726,CP1A2_HUMAN
2726,CP2D6_HUMAN
2726,CP2E1_HUMAN
2726,CP3A4_HUMAN
2726,DRD1_HUMAN
2726,DRD2_HUMAN
2726,DRD3_HUMAN
2726,DRD5_HUMAN
2726,HRH1_HUMAN
2726,HRH3_HUMAN
2726,KCNH2_HUMAN
2726,MDR1_HUMAN
2726,NMD3A_HUMAN
2726,NMD3B_HUMAN
2726,PRIO_HUMAN
446541,ADRB2_HUMAN
446541,IMDH1_HUMAN
446541,IMDH2_HUMAN
446541,PPARG_HUMAN
446541,Q4R0Z5_HUMAN
446541,Q4R0Z6_HUMAN
446541,Q4R0Z7_HUMAN
446541,Q53E75_HUMAN
446541,Q5DSZ5_HUMAN
446541,Q5DSZ6_HUMAN
446541,Q5DSZ7_HUMAN
446541,Q5DSZ8_HUMAN
446541,Q5DSZ9_HUMAN
446541,UD14_HUMAN
446541,Q5DT01_HUMAN
446541,Q5DT02_HUMAN
446541,Q5DT03_HUMAN
446541,Q5K632_HUMAN
446541,Q5K672_HUMAN
446541,Q5K673_HUMAN
446541,Q5K674_HUMAN
446541,Q5QTE2_HUMAN
446541,Q75XT3_HUMAN
446541,Q75XT5_HUMAN
446541,UD110_HUMAN
446541,Q8WUQ4_HUMAN
446541,Q8WX89_HUMAN
446541,Q8WX90_HUMAN
446541,Q8WX91_HUMAN
446541,Q96DH9_HUMAN
446541,Q96PN9_HUMAN
446541,Q96PP0_HUMAN
446541,Q96PP1_HUMAN
446541,Q9BX76_HUMAN
446541,Q9H3F9_HUMAN
446541,Q9H3G0_HUMAN
446541,Q9H3G1_HUMAN
446541,Q9H3G2_HUMAN
446541,Q9UK62_HUMAN
446541,UD110_HUMAN
446541,UD11_HUMAN
446541,UD13_HUMAN
446541,UD14_HUMAN
446541,UD15_HUMAN
446541,UD16_HUMAN
446541,UD17_HUMAN
446541,UD18_HUMAN
331783,NFKB1_HUMAN
331783,TF65_HUMAN
11787114,IF4A1_HUMAN
11787114,IF4A2_HUMAN
11787114,IF4A3_HUMAN
492405,RDRP_I56A0
37542,5NTC_HUMAN
37542,ADK_HUMAN
37542,ENPP1_HUMAN
37542,IMDH1_HUMAN
37542,IMDH2_HUMAN
37542,L_PI2HT
37542,NTP1_MCV1
